temperature,humidity,pm25,pm10,no2,so2,co,industrial_proximity,population_density,air_quality,timestamp,latitude,longitude
26.2,62.3,5.9,9.6,23.6,8.6,1.4,7.9,685,Moderate,2024-08-28 14:48:49.638632,40.87002159730815,-73.98661305890427
45.2,88.9,9.9,28.9,33.6,18.9,2.37,6.9,574,Poor,2024-08-28 15:48:49.638632,40.73151088291712,-74.04007613878841
18.1,50.3,10.3,15.5,19.8,19.8,1.69,7.3,440,Moderate,2024-08-28 16:48:49.638632,40.643112389461606,-73.9346871278739
27.6,55.9,9.8,17.8,33.7,8.8,1.6,5.2,352,Moderate,2024-08-28 17:48:49.638632,40.63560581668816,-73.97040608763145
31.9,68.4,7.8,18.9,33.0,11.4,1.68,5.7,476,Moderate,2024-08-28 18:48:49.638632,40.77715941916155,-74.10672708934622
28.3,63.1,59.9,68.3,20.7,0.0,1.22,5.1,399,Moderate,2024-08-28 19:48:49.638632,40.98387677263223,-74.06260342623288
34.0,63.3,15.3,16.3,19.1,10.4,1.54,12.7,387,Moderate,2024-08-28 21:48:49.638632,40.729418321894734,-73.83862633150824
26.6,74.9,9.6,13.4,21.3,9.3,1.13,10.5,327,Good,2024-08-28 22:48:49.638632,40.51963781190091,-74.05133058318437
29.4,60.0,51.9,65.0,33.7,9.1,1.48,8.6,641,Moderate,2024-08-28 23:48:49.638632,40.635928438926676,-73.82700670986743
23.5,58.3,4.8,5.7,11.7,5.9,0.99,10.8,346,Good,2024-08-29 00:48:49.638632,40.507369683361105,-74.06585383434611
32.0,57.4,61.5,76.9,27.2,16.1,2.4,4.7,422,Poor,2024-08-29 01:48:49.638632,40.564791181491586,-74.0712127124331
28.3,65.8,7.3,9.8,23.3,3.6,1.03,13.0,563,Good,2024-08-29 02:48:49.638632,40.54278191036032,-74.17933089977247
27.6,79.6,55.7,66.7,33.7,19.3,1.79,8.9,539,Poor,2024-08-29 04:48:49.638632,40.673556795024446,-74.14436498505927
27.6,69.4,2.9,9.9,12.4,2.0,0.97,13.2,375,Good,2024-08-29 05:48:49.638632,40.863346494925224,-74.0328167273246
36.4,94.9,7.2,32.0,30.4,5.8,1.92,5.9,565,Poor,2024-08-29 06:48:49.638632,40.79981367574053,-73.9523162411866
23.8,92.0,20.3,37.8,44.0,5.5,2.29,4.0,433,Poor,2024-08-29 07:48:49.638632,41.005343614625424,-74.02045540273517
24.3,58.9,24.2,32.1,18.7,4.9,1.09,13.6,265,Good,2024-08-29 08:48:49.638632,40.76277240550239,-73.83852009495882
38.5,88.0,11.7,28.5,25.2,20.0,1.3,4.3,693,Poor,2024-08-29 09:48:49.638632,40.85654958004477,-74.02688695400701
27.2,71.9,13.7,22.7,27.1,5.5,1.1,11.2,513,Good,2024-08-29 10:48:49.638632,40.568059718561756,-74.1764268325879
42.1,87.6,2.5,22.2,37.6,27.2,2.3,2.8,451,Hazardous,2024-08-29 11:48:49.638632,40.84969901634608,-74.10427689556322
36.8,79.1,1.7,14.1,37.1,19.1,2.17,4.0,659,Poor,2024-08-29 12:48:49.638632,40.719603137203805,-74.24956059865941
30.5,75.1,8.8,19.3,29.4,9.9,1.67,5.1,511,Moderate,2024-08-29 13:48:49.638632,40.6651435024162,-74.04263277727475
44.0,100.0,22.5,48.3,35.8,12.4,2.03,3.4,627,Hazardous,2024-08-29 14:48:49.638632,40.64532323907464,-74.07662475355455
50.2,69.1,0.4,24.1,41.5,21.9,2.82,7.3,883,Hazardous,2024-08-29 15:48:49.638632,40.87518224304356,-74.02879196524813
24.3,59.5,10.7,15.9,20.8,5.1,0.97,11.8,538,Good,2024-08-29 16:48:49.638632,40.77434969618606,-74.10659935345349
25.4,42.8,5.2,11.8,23.2,7.3,0.99,11.7,504,Good,2024-08-29 17:48:49.638632,40.69267136986709,-74.1893520741136
29.8,78.6,6.7,14.8,37.3,7.5,1.42,8.3,398,Moderate,2024-08-29 18:48:49.638632,40.64773116089799,-74.09994109992743
40.1,80.2,36.5,49.6,30.0,8.0,2.13,3.7,468,Poor,2024-08-29 19:48:49.638632,40.871778398176254,-73.9001077614156
29.8,67.0,23.0,39.7,27.3,12.5,2.27,7.2,639,Poor,2024-08-29 20:48:49.638632,40.621212540559284,-73.8930102484877
33.0,79.3,57.4,78.2,34.4,25.3,2.58,3.4,692,Hazardous,2024-08-29 21:48:49.638632,40.67440633426163,-73.82163322100769
27.1,70.2,2.0,6.2,23.0,3.5,1.0,10.1,271,Good,2024-08-29 22:48:49.638632,40.77963449197894,-73.9864242614789
24.3,62.5,1.1,9.6,20.8,7.0,1.08,10.9,567,Good,2024-08-29 23:48:49.638632,40.56966076105989,-73.99679413378601
22.9,41.7,26.8,33.4,11.9,1.1,0.89,11.0,359,Good,2024-08-30 00:48:49.638632,40.74403149586661,-74.0337965086803
34.5,62.3,12.9,27.6,27.3,7.7,1.58,6.7,474,Moderate,2024-08-30 02:48:49.638632,40.64760729572923,-73.93426994031977
24.2,69.5,6.0,9.9,9.9,4.7,0.97,10.5,461,Good,2024-08-30 03:48:49.638632,40.764041934995454,-74.08880497195531
28.9,67.7,39.3,52.7,22.6,12.4,2.15,4.1,550,Poor,2024-08-30 04:48:49.638632,40.6810660684415,-74.15459771269491
28.6,65.9,0.9,4.4,13.1,5.9,1.03,11.7,446,Good,2024-08-30 05:48:49.638632,40.61580000362938,-74.03499828753115
26.4,64.2,6.9,8.3,11.8,4.3,1.08,15.7,563,Good,2024-08-30 06:48:49.638632,40.66597399445952,-74.0241833845901
23.4,61.0,4.4,10.3,17.2,4.4,0.97,11.5,421,Good,2024-08-30 07:48:49.638632,40.73796403169628,-74.05054882253371
25.9,56.0,36.7,38.0,14.4,6.7,1.0,10.4,572,Good,2024-08-30 08:48:49.638632,40.70887925493521,-73.86601114705508
22.0,70.7,34.7,46.7,19.8,10.5,1.78,5.6,691,Moderate,2024-08-30 09:48:49.638632,40.802897623233285,-74.03731365648429
26.2,46.9,2.0,6.4,18.1,4.2,1.19,11.6,299,Good,2024-08-30 10:48:49.638632,40.75430839435032,-74.02769632416663
19.6,60.0,2.5,7.0,22.7,4.8,1.01,11.8,594,Good,2024-08-30 11:48:49.638632,40.670734062126954,-73.89508223773723
31.1,89.1,22.8,28.2,17.7,10.5,1.71,6.8,680,Moderate,2024-08-30 12:48:49.638632,40.87867973274307,-73.9245479244008
29.4,64.4,42.5,55.4,23.3,15.8,1.43,7.2,356,Moderate,2024-08-30 13:48:49.638632,40.79576163066474,-74.00989304899285
29.5,69.1,21.9,45.5,31.7,22.7,1.99,5.3,553,Poor,2024-08-30 15:48:49.638632,40.68770323025282,-74.04929688168627
35.4,73.5,14.6,24.3,33.2,10.0,1.3,5.5,668,Moderate,2024-08-30 16:48:49.638632,40.63982176077939,-74.05308855472526
26.5,83.7,3.2,11.7,31.5,12.4,1.69,5.5,614,Moderate,2024-08-30 17:48:49.638632,40.68894330841954,-73.88905968992766
27.3,67.3,6.5,11.2,24.8,10.7,2.19,5.0,389,Poor,2024-08-30 19:48:49.638632,40.744480367432374,-74.08988596530729
30.2,63.7,16.6,29.7,30.1,15.1,1.75,6.0,297,Moderate,2024-08-30 20:48:49.638632,40.72033906597612,-73.90735443280991
31.8,99.2,11.7,43.7,38.0,10.0,2.86,2.7,810,Hazardous,2024-08-30 21:48:49.638632,40.75844764833354,-73.84442300108624
26.8,44.5,5.1,8.1,23.4,4.4,1.12,11.0,401,Good,2024-08-30 22:48:49.638632,40.72774747349267,-73.94067032649663
38.1,100.0,28.0,58.2,36.8,24.8,2.19,4.6,494,Hazardous,2024-08-30 23:48:49.638632,40.56622341760447,-73.90374744171731
26.9,72.5,21.5,36.4,18.2,7.6,1.73,12.0,559,Moderate,2024-08-31 00:48:49.638632,40.81524170813266,-73.87816638237688
24.1,45.4,0.6,3.0,15.1,2.6,1.14,13.0,513,Good,2024-08-31 01:48:49.638632,40.69890886179112,-73.98014189104944
30.9,66.2,17.4,20.8,12.5,4.9,0.93,11.4,459,Good,2024-08-31 02:48:49.638632,40.732146136373046,-74.02280099664871
27.6,62.0,15.5,24.6,27.4,7.2,1.76,5.7,556,Moderate,2024-08-31 03:48:49.638632,40.724674493887164,-73.85773814712464
36.3,67.9,4.8,18.0,24.6,18.9,2.13,8.1,588,Poor,2024-08-31 04:48:49.638632,40.7358027402747,-74.18805183412148
21.9,71.6,6.1,11.4,15.5,5.4,0.95,11.6,585,Good,2024-08-31 05:48:49.638632,40.66706300529106,-74.05399369506783
32.0,58.4,24.0,30.9,28.9,7.4,0.92,12.3,684,Moderate,2024-08-31 06:48:49.638632,40.72707040205331,-74.1474845746831
20.3,78.3,8.4,11.9,22.8,7.2,1.1,15.4,342,Good,2024-08-31 07:48:49.638632,40.51144257676139,-73.68306029934413
24.3,45.0,21.7,24.7,20.9,8.3,0.86,12.5,388,Good,2024-08-31 08:48:49.638632,40.734429334956104,-73.8741509923528
24.7,49.4,15.5,21.2,21.7,4.8,0.94,10.6,389,Good,2024-08-31 09:48:49.638632,40.56979631646731,-74.07318296988629
31.9,53.6,13.3,23.8,20.8,7.0,1.67,11.3,366,Moderate,2024-08-31 10:48:49.638632,40.791718862690225,-73.95259839843273
27.0,45.2,3.2,6.5,24.1,2.7,0.95,11.7,274,Good,2024-08-31 11:48:49.638632,40.869481654498166,-74.03800504244612
34.5,72.1,25.0,38.3,22.8,18.3,1.43,6.3,577,Moderate,2024-08-31 12:48:49.638632,40.857330298331284,-73.96201570544719
26.3,52.6,22.2,25.4,18.7,4.6,0.93,10.6,326,Good,2024-08-31 13:48:49.638632,40.62546152202013,-74.07462411327734
28.0,83.3,6.0,4.5,34.1,4.6,1.65,5.8,475,Moderate,2024-08-31 14:48:49.638632,40.57939170793197,-74.05213036952163
22.7,69.5,15.6,15.6,27.8,7.3,1.84,7.2,483,Moderate,2024-08-31 15:48:49.638632,40.714518021944365,-74.16682456966863
27.5,59.5,30.0,38.9,18.5,9.8,1.15,13.7,356,Good,2024-08-31 16:48:49.638632,40.77954806338206,-74.03279099513551
43.0,94.0,7.6,16.5,27.5,19.0,1.39,8.6,588,Poor,2024-08-31 17:48:49.638632,40.88057484066497,-73.93079447690837
25.0,39.8,2.0,8.4,21.7,4.0,0.96,10.7,290,Good,2024-08-31 18:48:49.638632,40.54086990467522,-74.04225314455628
19.5,63.2,9.9,15.1,15.0,4.9,0.97,10.5,389,Good,2024-08-31 19:48:49.638632,40.666347309234965,-73.96073288109974
23.7,56.0,1.4,11.1,26.0,9.9,1.2,7.1,331,Moderate,2024-08-31 20:48:49.638632,40.79406565688824,-74.05756293389801
27.0,74.2,3.4,15.0,33.6,6.3,1.39,10.6,515,Moderate,2024-08-31 21:48:49.638632,40.765881274969466,-73.98463917719849
28.9,46.1,3.5,10.8,12.5,5.9,1.02,10.8,450,Good,2024-08-31 22:48:49.638632,40.717739372919034,-73.91211034753012
31.1,60.2,14.1,25.3,18.4,8.7,1.69,5.0,629,Moderate,2024-08-31 23:48:49.638632,40.77907756564448,-73.99595067640651
24.3,78.7,13.3,20.4,23.6,3.8,0.92,11.1,348,Good,2024-09-01 00:48:49.638632,40.675562297875665,-74.04203802933753
25.0,55.1,2.2,7.7,27.2,7.2,1.04,10.1,294,Good,2024-09-01 01:48:49.638632,40.58466103459247,-74.01940675197318
29.3,39.1,1.6,8.9,17.7,2.7,1.1,15.9,530,Good,2024-09-01 02:48:49.638632,40.75380698061954,-74.0099171228172
23.8,73.6,36.9,42.2,28.3,5.7,1.07,15.3,555,Good,2024-09-01 03:48:49.638632,40.83584221352587,-74.02160422644603
30.5,81.0,44.5,60.7,33.6,11.2,1.5,6.8,564,Moderate,2024-09-01 04:48:49.638632,40.65140397387063,-73.96900063513009
28.1,73.2,31.1,41.5,18.8,12.8,1.23,5.1,423,Moderate,2024-09-01 05:48:49.638632,40.83200681583727,-74.29915720026882
27.3,78.6,13.8,18.7,14.4,5.4,1.03,14.5,270,Good,2024-09-01 06:48:49.638632,40.61874998814927,-73.97725520544996
22.2,66.7,1.6,8.2,14.1,7.8,0.99,10.4,544,Good,2024-09-01 08:48:49.638632,40.52113562114676,-74.06011990001393
27.3,78.1,8.6,7.8,13.8,5.6,1.06,11.0,447,Good,2024-09-01 09:48:49.638632,40.781219601786795,-74.00754777062889
19.7,75.3,7.8,13.9,21.2,6.4,1.25,10.9,402,Good,2024-09-01 10:48:49.638632,40.61385722732722,-74.08473007625514
43.6,88.4,24.6,37.1,37.1,24.5,2.81,7.4,626,Hazardous,2024-09-01 11:48:49.638632,40.71476346038107,-73.95780285481469
38.2,84.1,28.5,35.4,20.9,12.9,1.55,6.0,697,Moderate,2024-09-01 12:48:49.638632,40.61593464491814,-73.90913912547083
24.8,58.5,10.3,18.9,32.3,11.3,1.36,5.0,471,Moderate,2024-09-01 13:48:49.638632,40.67607001285907,-74.02158706884242
29.7,61.6,1.5,10.0,21.0,5.4,1.17,13.4,541,Good,2024-09-01 14:48:49.638632,40.4746599193887,-73.82396805326822
45.0,76.7,15.8,21.9,45.2,24.1,2.91,11.0,808,Hazardous,2024-09-01 15:48:49.638632,40.72273502376027,-74.15501510973917
26.9,95.2,0.0,17.3,26.9,23.6,1.33,10.2,650,Moderate,2024-09-01 16:48:49.638632,40.588653600634274,-74.06451876898338
27.9,60.5,22.9,47.1,17.2,17.3,1.75,3.9,603,Poor,2024-09-01 17:48:49.638632,40.659431823121004,-73.91205041028465
24.8,67.9,2.3,8.2,23.9,1.4,1.08,18.8,207,Good,2024-09-01 18:48:49.638632,40.63732546416341,-74.15016458995464
30.2,75.3,1.0,1.9,41.1,5.7,1.57,4.3,609,Poor,2024-09-01 19:48:49.638632,40.63294946682206,-73.98447589036282
42.2,100.0,42.1,79.4,42.9,27.3,1.82,3.1,867,Hazardous,2024-09-01 20:48:49.638632,40.71120326645702,-74.06985863848142
21.7,45.8,9.8,12.2,20.4,6.2,1.04,10.8,596,Good,2024-09-01 22:48:49.638632,40.567675775591326,-74.19984000506484
21.5,79.0,2.7,8.6,24.2,5.2,1.0,10.3,282,Good,2024-09-01 23:48:49.638632,40.69382508234795,-74.04025334411817
25.7,63.6,11.8,21.3,31.8,10.9,1.62,7.0,492,Moderate,2024-09-02 00:48:49.638632,40.69194704645855,-73.87065421370112
44.4,70.0,13.0,26.5,36.2,9.2,1.89,2.7,685,Hazardous,2024-09-02 01:48:49.638632,40.82093959734623,-74.03178966587862
29.2,54.5,15.8,18.0,12.2,6.4,1.15,13.2,498,Good,2024-09-02 02:48:49.638632,40.97560581149341,-73.90353247219377
27.6,78.0,19.2,29.8,35.6,15.0,1.45,6.2,387,Poor,2024-09-02 03:48:49.638632,40.68643869316057,-73.78897511674786
41.4,99.5,0.7,40.0,44.6,16.6,2.51,8.8,608,Hazardous,2024-09-02 04:48:49.638632,40.72305543904152,-74.102669446946
31.6,88.9,24.1,40.1,39.4,11.2,2.06,6.0,474,Poor,2024-09-02 05:48:49.638632,40.747793051835515,-73.94390106353397
33.2,93.9,21.3,32.2,36.2,21.8,2.35,5.5,714,Poor,2024-09-02 06:48:49.638632,41.00939138184206,-74.00626713877175
29.0,65.3,3.5,6.1,8.5,2.5,1.13,14.1,319,Good,2024-09-02 07:48:49.638632,40.79267545741854,-73.91568729170656
22.6,56.6,34.2,48.3,23.4,7.8,1.8,8.3,630,Moderate,2024-09-02 08:48:49.638632,40.596966406149676,-74.06434769586089
32.2,70.0,47.7,52.4,38.0,4.6,1.64,6.7,402,Moderate,2024-09-02 09:48:49.638632,40.826210212294555,-74.06986456512028
28.6,67.6,3.2,5.0,18.6,3.3,0.92,16.4,355,Good,2024-09-02 10:48:49.638632,40.76543148829884,-73.92057099842934
28.9,57.9,16.4,23.1,20.6,3.4,0.89,12.5,527,Good,2024-09-02 12:48:49.638632,40.64088896416437,-74.01726502756927
32.2,89.0,50.8,70.0,24.9,24.5,2.6,3.5,527,Poor,2024-09-02 13:48:49.638632,40.779874321614166,-74.11823660169446
30.7,54.4,1.5,8.9,21.6,11.2,1.73,5.6,565,Moderate,2024-09-02 14:48:49.638632,40.94108941652895,-74.13678645289711
27.0,46.9,30.1,38.5,20.6,2.7,0.91,11.1,263,Good,2024-09-02 15:48:49.638632,40.6956459130907,-74.03126048397023
36.9,69.8,55.4,62.3,37.2,21.0,2.04,3.8,414,Poor,2024-09-02 16:48:49.638632,40.79034657786327,-74.11850293141406
29.6,68.9,1.9,7.6,26.5,4.1,1.5,9.9,398,Moderate,2024-09-02 17:48:49.638632,40.76884684852757,-74.03254490021054
43.3,69.3,6.6,19.3,34.3,11.3,1.99,4.3,500,Poor,2024-09-02 18:48:49.638632,40.796514325470305,-73.91827909305516
24.3,79.5,9.8,12.6,26.5,5.7,1.01,12.5,280,Good,2024-09-02 19:48:49.638632,40.741690685156506,-74.09379303749735
23.0,50.9,19.3,20.7,21.4,6.9,1.0,12.6,454,Good,2024-09-02 20:48:49.638632,40.72238045109337,-73.88397941771308
34.7,74.0,22.5,23.7,40.4,17.1,2.49,5.2,523,Poor,2024-09-02 21:48:49.638632,40.80877809487109,-73.9794360568669
24.5,40.6,0.5,4.1,25.4,4.2,1.02,11.7,494,Good,2024-09-02 22:48:49.638632,40.71933089284455,-74.13827950446131
25.4,56.8,5.7,8.2,15.6,4.2,1.01,12.0,375,Good,2024-09-02 23:48:49.638632,40.683041213623994,-73.91914063112229
33.6,71.0,61.1,77.5,27.7,10.8,1.89,3.8,644,Poor,2024-09-03 00:48:49.638632,40.570037672221545,-73.97210913392101
